Doctor_English,Patient_Yoruba,Clinical_Translation_English,Direct_Translation_English
Are you taking any medication for your high blood pressure?,"Bẹ́ẹ̀ni, mo ń mu ‘lisinopril’ lójoojúmọ́ gẹ́gẹ́ bí wọ́n ti fún mi.","Yes, I take lisinopril daily as prescribed.","Yes, I am drinking 'lisinopril' everyday just as they had given me."
What seems to be the problem with your child?,"Ọmọ mi kò fi bẹ́ẹ̀ jẹun láti àárọ̀, ó sì ń yọ èébì àti ìgbẹ́ gbuuru.",My child has not been eating well since morning and has been vomiting and experiencing diarrhoea.,"Child my not really eat since morning, it also is vomiting and stool liquid."
Does your blood sugar fluctuate a lot despite medication?,"Bẹ́ẹ̀ni, ó máa ń ga jù tàbí ó máa ń lọ sílẹ̀, láìka oògùn sí.","Yes, it often goes too high or too low, despite the medication.","Yes, it usually goes high too or it usually goes down, regardless of medicine."
Do you have any difficulty hearing?,"Bẹ́ẹ̀ ni, etí mi kan kò gbọ́rọ̀ dáadáa bí ti àtijọ́ mọ́.","Yes, one of my ears doesn't hear well anymore like it used to.","Yes, ear my one not hear word well like that of old anymore."
How would you describe your energy levels lately?,"Gbogbo ìgbà ni ara mi rẹ̀, kò sí agbára rárá lára mi.","I feel constantly tired, with no energy at all.","All time is body my tired, there is no strength at all in body my."
"Which part of your body is swollen, and how long has it been like this?","Ẹsẹ̀ mi ni ó wú, ó ti tó ọ̀sẹ̀ kan báyìí.",My leg is swollen; it's been about a week now.,"Leg my is it swollen, it has about week one now."
Have you been coughing up any blood?,"Rárá, ṣùgbọ́n ikọ́ mi jẹ́ pẹ́jẹ́ pẹ́jẹ́, ó sì máa ń dun mi láyà nígbà tí mo bá kọ́.","No, but my cough is persistent, and it hurts my chest when I cough.","No, but cough my is persistent, it also usually hurts me in-the-chest when I if cough."
Does anyone else in your household have similar symptoms?,"Bẹ́ẹ̀ni, ọmọ mi kékeré pẹ̀lú ní ibà àti ikọ́ bíi tèmi.","Yes, my younger child also has fever and cough like mine.","Yes, child my small also has fever and cough like mine."
Have you noticed any changes in your vision?,"Bẹ́ẹ̀ni, ojú mi ti ń rí fùyẹ́fùyẹ́ díẹ̀ ní àwọn ọjọ́ wọ̀nyí, kò sì dára mọ́.","Yes, my vision has been a little blurry these past few days, and it's not good anymore.","Yes, my eye is seeing blur a little in the days these, it is not good anymore."
We need to perform a small procedure. Do you give your consent?,"Bẹ́ẹ̀ni, dòkítà. Mo gbà pé kí ẹ ṣe é, kì í ṣe pé ara kò ní gbẹ́ mi mọ́.","Yes, doctor. I consent for you to do it, so that I will not be unwell anymore.","Yes, doctor. I agree that you do it, it is not that body will not be healthy me anymore."
Do you feel pain in your joints or muscles?,"Gbogbo oríkèé ara mi ń ro mí, pàápàá àwọn oríkèé orúnkún mi.","All my joints ache, especially my knee joints.","All joints body my are paining me, especially the joints knee my."
"Good morning, what brings you to the hospital today?","Ẹ káàárọ̀, dókítà. Orí mi ń fọ̀ mí gan-an, ara mi sì gbóná.","Good morning, doctor. I have a severe headache and my body is hot.","Good morning, doctor. Head my is aching me very much, body my and hot."
Have you had any previous surgeries?,"Bẹ́ẹ̀ni, wọ́n ti ṣe iṣẹ́ abẹ appendicitis fún mi ní ọdún mélòó kan sẹ́yìn.","Yes, I had an appendectomy a few years ago.","Yes, they have done work surgery appendicitis for me in year a few ago."
Have you had a blood transfusion before?,"Bẹ́ẹ̀ ni, mo ti gba ẹ̀jẹ̀ lẹ́ẹ̀kan ní ọdún díẹ̀ sẹ́yìn.","Yes, I received a blood transfusion once a few years ago.","Yes, I have received blood once in year few behind."
What exactly happened?,"Ọkọ̀ kan gbá mi ní ẹ̀yìn, mo sì ṣubú lulẹ̀ tìẹ́.","A car hit me from behind, and I fell down hard.","Car a hit me in back, I and fell down hard."
Are the contractions becoming more frequent and intense?,"Bẹ́ẹ̀ni, Dókítà. Ìrọra náà ti pọ̀ gan-an, ó sì ti ń dé léraléra.","Yes, Doctor. The pain has become very severe, and it's coming repeatedly.","Yes, Doctor. The pain it has increased very much, it also has been arriving repeatedly."
Are you experiencing any vision changes?,"Bẹ́ẹ̀ni, ojú mi ríran kò dára, gbogbo rẹ̀ sì rí kókó.","Yes, my vision is not good; everything appears blurry.","Yes, eye my see not good, all it also see blurry."
Are you experiencing any difficulty breathing?,"Bẹ́ẹ̀ni, Dókítà. Ó ń le mí lára mímí, mo sì ń mí hììhìì.","Yes, Doctor. I am having difficulty breathing, and I am wheezing.","Yes, Doctor. It is hard me on breathing, I and breathing wheezing."
What happened? How did you get injured?,"Ìjàmbá ọkọ̀ ló ṣẹlẹ̀, mo sì ti farapa ní orí àti ẹsẹ̀ mi.","It was a car accident, and I sustained injuries to my head and legs.","Accident car that happened, I also have gotten injured in head and leg my."
Are you taking any medications for your blood pressure?,"Bẹ́ẹ̀ni, mó ń mú oògùn tó jẹ́ fún ẹ̀jẹ̀ ríru mi déédéé gẹ́gẹ́ bí ẹ ti sọ fún mi.","Yes, I am taking my high blood pressure medication regularly as you instructed me.","Yes, I am taking medicine that is for blood pressure my regularly just as you have told me."
Have you vomited or had diarrhoea?,"Bẹ́ẹ̀ni, mo ti bì nígbà méjì lánàá, mo sì lọ sí ilé ìgbọ́nsẹ̀ nígbà márùn-ún lónìí.","Yes, I vomited twice yesterday, and I have had diarrhoea five times today.","Yes, I have vomited times two yesterday, I and went to house toilet times five today."
Did you have any pain during urination?,"Bẹ́ẹ̀ni, ó máa ń ta mí lára nígbà tí mo bá ń tọ̀, ó sì ń jó mi.","Yes, it stings when I urinate, and it has a burning sensation.","Yes, it usually stings me body when I am urinating, it also is burning me."
How would you describe your general mood recently?,"Mo máa ń nímọ̀lára ìbànújẹ́ àti àìlápá láìsí ìdí, mi ò sì gbádùn ara mi.","I often feel sad and helpless without reason, and I don't feel well.","I always feel sadness and helplessness without reason, I not also enjoy body my."
How long have you been experiencing this cough?,"Ó ti fẹ́rẹ̀ẹ́ tó ọ̀sẹ̀ méjì báyìí, àti pé ó máa ń burú jáì ní alẹ́.","It's been almost two weeks now, and it tends to worsen significantly at night.","It has almost reached week two now, and it often becomes bad utterly at night."
Did you take any painkillers before coming here?,"Bẹ́ẹ̀ni, mo mu Panadol méjì ṣáájú kí n tó dé.","Yes, I took two Panadol tablets before arriving.","Yes, I drank Panadol two before that I arrived."
Have you experienced any unintentional weight loss recently?,"Bẹ́ẹ̀ni, mo ti rùn lọ́wọ́, àwọn aṣọ mi sì ti fẹ̀ mí. Kò sí ìdí tó ṣe bẹ́ẹ̀.","Yes, I've lost weight, and my clothes have become loose on me. There's no reason why it happened.","Yes, I have reduced in hand, clothes my also have wide me. Not is reason that it did so."
Are you interested in discussing family planning options?,"Bẹ́ẹ̀ni, mo fẹ́ mọ àwọn ọ̀nà tí mo lè gbà fàyè sí ara mi.","Yes, I want to know the methods I can use for birth spacing.","Yes, I want to know the ways that I can take space for body my."
Are you experiencing any side effects from your medication?,"Bẹ́ẹ̀ni, ó máa ń gbé mí mì, orí mi sì máa ń fọ́ díẹ̀.","Yes, it makes me drowsy, and I get a slight headache.","Yes, it usually swallows me, head my also usually breaks a little."
"For the surgery, we'll need your written consent. Do you understand what the procedure entails?","Bẹ́ẹ̀ni, nọ́ọ̀sì ti ṣàlàyé gbogbo rẹ̀ fún mi tẹ́lẹ̀.","Yes, the nurse has already explained everything to me.","Yes, nurse has explained all of it for me before."
How are you feeling after the surgery? Any discomfort?,Mo rí i pé mo bẹ̀rẹ̀ sí í tún rí agbára. Kò sí ìrora tó pọ̀ mọ́.,I feel that I'm starting to regain strength. There isn't much pain anymore.,I see that I start to again see strength. Not is pain that much anymore.
We've discussed the risks of the surgery; do you still wish to proceed?,"Bẹ́ẹ̀ni, mo gbọ́ gbogbo rẹ̀, mo sì ti pinnu láti lọ síwájú pẹ̀lú iṣẹ́ abẹ náà.","Yes, I understand everything, and I have decided to proceed with the surgery.","Yes, I hear all of it, I also have decided to go forward with work surgery that."
Has your child's appetite changed recently?,"Bẹ́ẹ̀ni, kò fẹ́ jẹun rárá, ó sì ń kọ gbogbo ohun tí mo bá fún un.","Yes, he doesn't want to eat at all, and he rejects everything I offer him.","Yes, he not wants to eat at all, he also is rejecting every thing that I give him."
We need your consent for this surgical procedure. Do you understand it fully?,Ṣé kò sí ewu púpọ̀ nínú iṣẹ́ abẹ́ náà? Mo bẹ̀rù díẹ̀ nípa rẹ̀.,Is there not much danger in the surgery? I am a bit scared about it.,Is there not danger much in work cutting the? I am scared a bit about it.
We need to do some blood tests. Are you comfortable with that?,"Bẹ́ẹ̀ni, kò sí ìṣòro, mo ṣetan láti ṣe ìwádìí yẹn.","Yes, no problem, I am ready to do that investigation.","Yes, no problem, I ready to do investigation that."
"Good morning, please have a seat. What brings you to the hospital today?",Ìwọ̀nyí ni ó ń ṣe mí lẹ́nu àwọn ọjọ́ wọ̀nyí: orí fífọ̀ àti àárẹ̀ gbogbo ara.,These are the symptoms I've been experiencing recently: headache and general body weakness.,These are the ones that are doing me in these days: head breaking and tiredness whole body.
How long has your child had this diarrhoea?,"Ó ti tó ọjọ́ méjì báyìí, ó sì ń tọ̀sọ̀gbẹ nígbà gbogbo.","It's been about two days now, and he's having diarrhoea constantly.","It has been day two now, he and is diarrhoeing time every."
Does anyone in your household have similar symptoms?,"Bẹ́ẹ̀ni, ọmọ mi àgbà náà ní irú àwọn àìsàn kan náà.","Yes, my eldest child also exhibits similar symptoms.","Yes, child my elder also has kind symptoms some same."
Do you smoke or drink alcohol?,"Rárá, èmi kò mu sìgá, èmi kò sì mu ọtí rárá. Mo gbìyànjú láti tọ́jú ara mi.","No, I don't smoke, and I don't drink alcohol at all. I try to take care of myself.","No, I do not drink cigarette, I do not also drink alcohol at all. I try to take care of my body."
Are your ankles swollen?,"Bẹ́ẹ̀ni, ẹsẹ̀ mi ti wú láti òwúrọ̀, ó sì lágbára láti rìn.","Yes, my feet have been swollen since morning, and it's difficult to walk.","Yes, my feet have swollen from morning, it is difficult to walk."
Are you experiencing any pain in your teeth or gums?,"Ẹyín mi kan ń fọ mí, ó sì ti bẹ̀rẹ̀ láti àná.","One of my teeth is aching, and it started yesterday.","Tooth my one is paining me, it has started from yesterday."
Are you taking your prenatal vitamins every day?,"Bẹ́ẹ̀ni, mo ń mú àwọn oògùn tó kún fún vitamin láti ìgbà tí mo ti lóyún.","Yes, I have been taking vitamin supplements since I became pregnant.","Yes, I am taking medicines that are full of vitamin since time that I became pregnant."
Which joints are giving you trouble? Is it your knees or hands?,Ó jẹ́ àwọn orúnkún mi méjèèjì àti àwọn ìka ọwọ́ mi.,It's both my knees and my fingers.,It is the knees my both and the fingers hand my.
Do you breastfeed your baby exclusively?,"Bẹ́ẹ̀ni, mo ń fún un lọ́mú nìkan, kò mu omi kankan rárá.","Yes, I breastfeed him exclusively, he doesn't drink any water at all.","Yes, I am giving him breast milk only, he did not drink water any at all."
Do you understand the risks and benefits of the proposed treatment?,Mi ò mọ̀ dáadáa. Ṣé ẹ lè ṣàlàyé ànfàní àti ewu rẹ̀ fún mi lẹ́ẹ̀kan sí i?,I don't understand well. Can you explain the benefits and risks to me one more time?,I not know well. Can you explain benefits and danger its for me once again?
Have you been taking your medication regularly?,"Bẹ́ẹ̀ ni, Dokita. Mo ń mu oògùn náà nígbà gbogbo gẹ́gẹ́ bí ẹ ṣe sọ.","Yes, Doctor. I'm taking the medication regularly as you instructed.","Yes, Doctor. I am taking medicine the always just as you said."
Where exactly is the joint pain? Is it in your knees or ankles?,Ó ń rọ̀ mí ní orúnkún méjèèjì. Kò sì jẹ́ kí n rìn dáadáa.,It affects both my knees. And it doesn't let me walk properly.,It is aching me at knee both. Not also let me walk well.
Are you currently on any medication for high blood pressure?,"Bẹ́ẹ̀ni, mo ń mu oògùn ẹ̀jẹ̀ ríru mi déédé, ṣùgbọ́n mo ti gbàgbé láti mú un lánàá.","Yes, I take my blood pressure medication regularly, but I forgot to take it yesterday.","Yes, I am taking medicine blood high my regularly, but I have forgotten to take it yesterday."
How old is your child? And has he had any cough or vomiting?,"Ó jẹ́ ọmọ ọdún méjì péré. Ó ti ń kọ́, ó sì ti bì ní ẹ̀ẹ̀kan ṣoṣo.","He is just two years old. He has been coughing, and he vomited once.","He is child year two only. He has been coughing, he also has vomited at once only."
Are you feeling any numbness or tingling sensations?,"Bẹ́ẹ̀ni, apá mi máa ń rọ díẹ̀ díẹ̀, ó sì máa ń gbóná nígbà mìíràn bíi pé ẹ̀jẹ̀ kò ń wọlé dáadáa.","Yes, my arm feels a bit numb, and it sometimes tingles as if blood isn't flowing properly.","Yes, arm my usually gets numb a little a little, it also usually gets hot at time other like that blood not is entering well."
Is there any history of stroke in your family?,"Bẹ́ẹ̀ni, ìyá àgbà mi ní rọpárọsẹ̀, ó sì kú sí i.","Yes, my grandmother had a stroke and died from it.","Yes, mother elder my had paralysis of limbs, she also died to it."
